rank,Economy,2013,2014,2015,2016,2017,2018,2019
,Fiji,30.5,30.4,27.3,,,,
,Sri Lanka,30.4,29,30.8,28.9,29.9,28.7,28.5
,Kenya,30.3,31.9,30.2,30.4,31,31.1,31.1
,Paraguay,30.3,31.6,30.7,28.2,30.3,28.7,27.1
,Tajikistan,30,23.7,27.5,29.6,28.2,26.5,26.4
,Belize,30,,,,,,
,Cape Verde,29.7,,,,,,
,Swaziland,29.6,25.3,25.4,,,,
,Azerbaijan,29,29.6,30.1,29.6,30.6,30.2,30.2
,Mali,28.8,26.2,28.4,24.8,22.5,23.3,24
,Honduras,28.8,26.7,27.5,26.9,26.4,24.9,25.5
,Egypt,28.5,30,28.9,26,26,27.2,27.5
,Namibia,28.4,28.5,28.1,28.2,27.9,28,25.9
,Cambodia,28.1,28.7,30.4,27.9,27,26.7,26.6
,Gabon,28,,,,,,
,Rwanda,27.6,29.3,30.1,30,27.4,26.5,27.4
,"Iran, Islamic Republic of",27.3,,28.4,30.5,32.1,33.4,
,"Venezuela, Bolivarian Republic of",27.3,,22.8,22.3,,,
,Nicaragua,27.1,25.5,23.5,23.1,,,22.5
,Burkina Faso,27,28.2,28.7,21,21.9,18.9,23.3
,Kyrgyzstan,27,27.8,28,26.6,28,27.6,28.4
,Zambia,26.8,25.8,24.6,19.9,20.8,20.7,20.4
,Malawi,26.7,27.6,29.7,27.3,23.5,23.1,23
,Nigeria,26.6,27.8,23.7,23.1,21.9,22.4,23.9
,Mozambique,26.5,28.5,30.1,29.8,24.5,23.1,22.9
,Gambia,26.4,29,27.5,,,,
,"Tanzania, United Republic of",26.4,,27,26.4,28,28.1,
,Lesotho,26.3,27,27,,,,
,Cameroon,25.7,27.5,27.8,22.8,22.6,23.8,23.9
,Guinea,25.7,20.2,18.5,17.2,17.4,20.7,19.5
,Benin,25.1,24.2,,22.2,23,20.6,20.4
,Nepal,25,23.8,21.1,23.1,24.2,24.2,24.9
,Ethiopia,24.8,25.4,24.2,24.8,24.2,,24.2
,Bangladesh,24.5,24.4,23.7,22.9,23.7,23.1,23.3
,Niger,24,24.3,21.2,20.4,21.2,20.6,18.1
,Zimbabwe,24,24.3,22.5,,21.8,23.1,22.3
,Uzbekistan,23.9,25.2,25.9,,,,
,Syrian Arab Republic,23.7,,,,,,
,Angola,23.5,23.8,26.2,,,,
,Cote dIvoire,23.4,27,27.2,25.8,24,,
,Pakistan,23.3,24,23.1,22.6,23.8,24.1,25.4
,Algeria,23.1,24.2,24.4,24.5,24.3,23.9,24
,Togo,23,17.6,18.4,18.4,18.4,18.9,18.5
,Madagascar,22.9,25.5,24.4,24.8,24.2,24.8,22.4
,Sudan,19.8,12.7,15,,,,
,Yemen,19.3,19.5,20.8,14.6,15.6,15,14.5
